189,204,9,10
198,209,9,17
9,188,10,11
82,86,11,11
88,88,11,11
91,91,11,11
93,134,11,11
136,138,11,11
140,162,11,11
164,166,11,11
170,177,11,11
9,17,12,117
208,210,18,139
94,96,28,67
55,57,33,36
181,183,33,36
54,54,35,35
124,138,54,62
127,127,55,55
123,123,61,61
119,129,62,72
50,51,63,64
74,74,63,64
119,119,63,63
131,140,63,72
129,131,72,73
51,51,78,78
73,74,78,79
59,64,84,86
63,64,84,84
58,58,88,88
93,96,92,95
58,58,96,96
211,211,104,105
211,211,111,111
211,211,116,116
20,22,117,140
161,165,122,125
13,17,140,140
74,77,140,143
207,210,140,209
10,12,141,186
48,50,169,170
53,57,169,179
178,186,169,178
52,52,170,170
151,154,170,171
151,153,173,174
187,187,174,175
47,52,177,179
185,186,177,178
50,51,178,178
53,53,178,178
184,184,178,178
9,9,180,180
9,9,182,183
9,9,185,185
9,9,187,187
11,11,188,190
9,9,189,190
9,9,192,192
11,12,192,193
109,113,192,197
9,12,194,202
11,22,203,211
9,9,204,204
9,9,206,207
171,206,208,209
175,176,208,208
193,207,208,208
9,9,209,209
64,111,209,210
70,71,209,209
73,81,209,209
84,170,209,210
24,61,210,211
63,63,210,210
